,freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52603,A,20000,PROD_BP,MIO_EUR,ES,,,,,,,,,,,,,,,,,,19912.61,20030.27,17719.11,17771.5,19130.88,19216.72,22315.16,22810.87,23083.5,21665.07,22813.76,24694.88,24443.08,27308.65,26531.89,24537.01,21577.69,25169.36,22847.54,20953.54,22366.06,21248.9,21329.39,22619.35,22896.36,24537.92,27328.05,28846.3,28742.91,27944.46,27841.39,29969.42
52604,A,20000,PROD_BP,MIO_EUR,EU,,,,,,,,,,,,,,,,,,,,,125906.85,133622.45,137962.0,144705.72,145110.39,142078.69,139663.52,144439.5,150277.66,144368.09,145510.62,151895.51,144218.87,137806.97,159156.52,156369.1,134010.76,153091.24,163791.2,165443.09,172618.62,172414.71,170658.82,168302.07,189598.47,184620.9,192250.1,178370.56,189379.91
52605,A,20000,PROD_BP,MIO_EUR,EU15,,,,,,,,,,,,,,,,,,,,,125906.85,133622.45,137962.0,144705.72,145110.39,142078.69,139663.52,144439.5,150277.66,144368.09,145510.62,151895.51,132499.51,125682.82,137262.47,131542.48,115138.86,131714.88,137902.47,141332.24,145568.37,146849.4,146024.22,142458.82,160558.02,156438.59,162051.83,,
52606,A,20000,PROD_BP,MIO_EUR,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,152315.2,148540.45,153794.76,161397.68,154543.87,154430.27,163860.16,144218.87,137806.97,151685.36,146121.58,126322.71,145144.1,154049.62,157571.69,162296.52,162786.59,161651.4,159120.58,179117.04,173476.87,180556.94,,
52607,A,20000,PROD_BP,MIO_EUR,EU27_2007,,,,,,,,,,,,,,,,,,,,,,,,,,1959297.85,154438.65,159649.64,168909.9,161346.89,161615.94,172641.17,151952.09,146303.11,159156.52,156369.1,134010.76,153091.24,163791.2,165443.09,171612.17,171628.32,169773.37,167334.11,188623.49,183537.82,191114.8,,
52608,A,20000,PROD_BP,MIO_EUR,EU27_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145831.78,140546.27,152818.7,149354.28,127991.97,146650.02,155337.42,156200.01,161791.48,160470.13,159078.93,158416.25,178006.08,173897.93,180691.77,178370.56,189379.91
52609,A,20000,PROD_BP,MIO_EUR,EU27_2020_EFTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157271.8,154138.32,132452.78,151458.73,160666.98,161630.56,167159.92,166187.52,164883.06,164430.82,183753.8,179395.24,186515.51,184568.63,195384.45
52610,A,20000,PROD_BP,MIO_EUR,EU28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153086.5,147601.88,160487.18,157890.2,135449.92,154461.01,165088.6,166615.51,172618.62,172414.71,170658.82,168302.07,189598.47,184620.9,192250.1,,
52611,A,20000,PROD_BP,MIO_EUR,FI,,,,1409.48,1247.67,1197.66,1240.53,1550.51,1604.23,2103.58,2263.45,2482.97,2570.19,2607.18,1898.22,2199.41,2805.8,3236.07,2590.65,2011.22,1919.41,1989.32,1893.95,1661.86,1651.18,1223.23,1479.6,1617.1,1671.1,1634.0,1562.9,1561.63,1532.72,1064.97,1413.37,1202.65,1345.27,1444.92,1260.29,1339.78,1277.04,1272.37,1085.04,1151.08,1164.95,1227.65,1362.79,1469.81,1140.72
52612,A,20000,PROD_BP,MIO_EUR,FR,14156.8,12711.16,13935.86,15439.82,15310.38,17370.38,19198.69,19437.88,20494.84,24481.4,23071.05,23091.18,23893.21,24307.92,23609.49,23484.16,27039.89,28597.02,25804.89,27189.39,26190.06,28428.56,29840.67,29957.12,29780.93,31154.09,30180.04,30559.7,30252.5,30071.8,28814.9,30426.4,28813.1,25853.6,29223.9,26630.3,22243.9,27862.3,29113.7,30004.9,26381.3,28979.06,29614.83,26284.14,29823.33,33576.12,31660.38,30910.76,35222.12
52613,A,20000,PROD_BP,MIO_EUR,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.41,1298.77,1330.66,1521.1,1439.16,1369.77,1297.4,1172.42,1006.45,786.38,885.45,967.97,974.98,1083.08,1135.3,1153.24,1458.4
52614,A,20000,PROD_BP,MIO_EUR,HU,,,,,,,,,,,,,,,,,,,,,,,,,2074.06,2090.52,1949.68,1922.06,2122.45,2037.25,1904.42,2391.98,2214.64,2188.6,2273.09,2684.94,1675.94,1969.96,2890.94,2571.46,2895.45,3218.73,3224.08,3429.11,3557.92,3449.73,3532.91,3420.4,3859.03
52615,A,20000,PROD_BP,MIO_EUR,IE,,,,,,,,,,,,,,,,,,2808.75,2637.21,3038.69,2971.2,2962.41,3002.05,3013.29,2974.44,2821.4,2540.39,2778.05,2597.43,2422.83,2513.82,2640.86,1966.03,1452.03,1749.77,1442.99,823.41,1388.61,1869.12,1783.19,2001.42,2173.97,2471.61,2359.07,3201.67,2632.24,2901.12,3276.74,3980.52
52616,A,20000,PROD_BP,MIO_EUR,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.13,82.31,90.19,83.33,97.37,102.75,87.09,120.31,156.22,165.06,182.39,149.32,152.22,161.92,165.28
52617,A,20000,PROD_BP,MIO_EUR,IT,,,,,,,,18309.32,19103.35,20623.08,24122.58,23438.59,23709.89,24794.97,25171.99,24416.58,26921.17,27128.0,29960.8,29096.89,24648.32,25246.78,24858.88,28763.57,29583.31,29717.9,30133.34,29598.47,30832.49,30145.66,30737.87,32321.19,28267.15,27773.74,27888.89,28529.75,26160.94,26236.75,28757.3,29958.77,33410.38,30901.74,32850.5,31350.36,32436.7,34014.69,33384.59,32470.82,33578.34
52618,A,20000,PROD_BP,MIO_EUR,LT,,,,,,,,,,,,,,,,,,,,,,,333.53,494.77,546.98,540.13,459.21,407.59,364.82,369.29,421.21,512.89,602.0,555.4,768.8,740.3,592.3,650.76,900.72,1168.64,1057.82,1022.44,1120.69,997.5,1241.16,990.06,1232.12,1499.79,1543.99
52619,A,20000,PROD_BP,MIO_EUR,LU,,,,,,,,,,,,,98.37,106.32,104.82,105.7,122.14,120.09,97.38,114.99,122.05,120.89,130.76,118.66,107.14,122.14,129.21,121.17,122.89,164.01,113.95,146.58,100.19,99.42,125.32,112.0,80.77,97.28,90.09,112.19,102.76,127.15,100.71,100.51,120.7,125.55,125.59,126.07,130.99
52620,A,20000,PROD_BP,MIO_EUR,LV,,,,,,,,,,,,,,,,,,,,,,,,,,130.18,179.54,197.27,235.61,230.47,223.04,278.58,279.96,311.14,352.03,297.38,216.39,236.23,259.29,322.52,254.77,297.89,399.54,333.31,426.81,346.49,573.41,590.11,622.86
52621,A,20000,PROD_BP,MIO_EUR,MT,,,,,,,,,,,,,,,,,,,,,,,,,,65.49,65.21,64.23,71.48,69.81,63.78,61.37,57.81,58.55,55.57,56.59,60.22,58.45,57.63,54.28,56.23,55.14,62.82,63.61,59.36,56.37,60.9,53.38,48.93
52622,A,20000,PROD_BP,MIO_EUR,NL,,,,,,,,,,,,,,7165.14,7206.71,7487.85,8624.56,8861.85,9132.71,9056.93,8428.51,9192.05,9557.98,9042.81,9730.67,8725.91,8383.83,8972.41,9197.12,8814.89,8978.51,8366.07,8659.5,9711.19,9489.24,8802.09,7976.96,9589.17,8475.61,9082.71,10138.81,9940.64,10157.69,10653.13,11743.67,10725.06,11254.8,10571.7,10983.51
52623,A,20000,PROD_BP,MIO_EUR,NO,,,,,,,,,,,,,,,,,,,,,,,1940.28,2009.67,1991.28,2013.52,1958.54,1950.01,1936.13,2065.57,1724.62,1652.87,1664.56,1673.56,1797.42,1916.99,1745.31,2022.57,2097.17,2234.37,2113.17,2096.46,2131.61,2129.93,2062.93,1786.79,1855.02,1856.74,1957.78
52624,A,20000,PROD_BP,MIO_EUR,PL,,,,,,,,,,,,,,,,,,,,,,,,,,5084.03,4181.58,4664.81,5896.24,4960.55,4147.33,5847.05,6092.31,6499.18,8221.05,8020.23,6760.62,8234.42,8956.18,9119.42,9385.5,8177.61,7848.33,8582.6,9918.06,8820.34,9642.86,10305.62,9916.58
52625,A,20000,PROD_BP,MIO_EUR,PT,,,,,,,,2108.03,2373.94,2470.81,2271.25,2383.73,2554.21,2523.7,2739.34,2508.22,3261.62,3388.49,3436.47,3018.36,2581.13,2826.78,3363.2,3438.33,3098.13,2870.28,3286.04,3072.62,3219.79,3049.24,3133.35,3371.49,2971.87,3032.32,2725.1,2839.68,2681.48,2736.15,2377.94,2303.42,2653.67,2596.16,2878.64,2671.84,2983.84,3008.23,3312.88,3305.09,3557.97
52626,A,20000,PROD_BP,MIO_EUR,RO,,,,,,,,,,,,,,,,,,,,,,,,,,5152.36,4219.66,4216.99,5708.9,5197.96,5653.44,7192.26,6188.96,7017.39,6244.01,8361.8,6391.98,6591.49,8109.08,6209.14,7621.29,7110.08,6501.24,6537.95,7714.07,8328.45,8790.05,8273.58,10140.73
52627,A,20000,PROD_BP,MIO_EUR,SE,,,1412.84,1624.96,1666.39,1571.41,1494.85,1650.34,2063.3,2174.34,1832.88,2340.52,1999.22,2016.66,1906.96,2021.06,2291.23,2210.62,2021.24,1747.09,1574.0,1601.43,1607.62,1661.89,1679.9,1590.67,1374.32,1566.01,1480.86,1687.23,1721.15,1632.06,1238.5,1441.3,1668.0,1437.4,1031.46,1548.08,1698.15,1793.76,1625.64,1700.03,1848.56,1641.99,1933.52,1500.2,1588.23,1727.44,2142.74
52628,A,20000,PROD_BP,MIO_EUR,SI,,,,,,,,,,,,,,,,,,,,,,,433.8,406.44,458.66,461.47,435.21,424.5,391.16,495.82,383.71,473.56,471.6,456.96,416.97,390.73,383.48,402.12,471.34,381.05,400.75,465.97,523.9,469.58,430.26,619.62,559.87,589.09,423.61
52629,A,20000,PROD_BP,MIO_EUR,SK,,,,,,,,,,,,,,,,,,,,,,,533.64,568.61,590.14,483.29,414.82,344.58,439.91,526.67,402.18,576.77,449.74,508.65,525.88,644.75,290.1,361.48,534.41,578.24,597.63,601.63,473.78,625.86,651.68,541.09,521.05,641.83,702.57
52630,A,20000,PROD_BP,MIO_EUR,UK,3679.67,3837.92,4283.42,4808.73,5012.81,5217.89,5887.75,7058.23,8559.02,9678.1,9019.43,10322.71,9191.71,8412.41,8489.06,9153.17,10002.97,9424.02,9651.61,9856.23,10643.24,11231.62,11560.35,11359.3,11028.03,10110.95,9932.77,9891.07,9648.39,10301.29,10187.33,10151.62,7254.73,7055.61,7668.48,8535.92,7457.95,7810.99,9751.18,10415.51,10827.14,11944.57,11579.89,9885.83,11592.4,10722.97,11558.33,10225.9,
54121,A,27000,PROD_BP,MIO_EUR,AT,,,,,,,,,,,,,,,,,,2037.38,2102.16,1938.48,1878.55,2160.74,2372.1,2130.81,1781.68,1717.56,1705.39,1848.72,2212.34,2006.75,1962.46,2074.37,2037.15,2235.69,2506.81,2443.2,1846.99,2185.79,2530.24,2385.04,2057.51,1885.28,1766.3,2052.76,2327.41,2125.41,1975.24,2084.6,2221.09
54122,A,27000,PROD_BP,MIO_EUR,BE,,,,,,,,1523.94,1678.14,1757.11,1887.79,1913.85,1907.57,1954.95,1824.5,1923.79,2443.48,2268.93,2255.16,2205.22,2165.46,2216.63,1842.72,1944.44,1986.86,1839.14,1659.95,1903.01,1756.09,1503.94,1632.09,1737.1,1544.14,1984.25,2135.28,1630.87,1504.84,2063.45,1660.94,2102.41,1605.81,1459.38,1689.58,1371.93,1551.94,1387.5,1817.65,1586.58,1618.03
54123,A,27000,PROD_BP,MIO_EUR,BG,,,,,,,,,,,,,,,,,,,,,,,1220406.77,853828.23,1703414.42,1497349.05,1402.9,1389.79,1623.0,1443.2,1377.33,1414.13,1355.9,1248.6,1201.5,2050.71,1302.98,1391.75,1571.1,1689.39,1870.95,1820.16,1485.36,1852.14,1902.39,1840.89,1886.15,1874.54,2523.51
54124,A,27000,PROD_BP,MIO_EUR,CH,,,,,,,,,,,,,1980.09,2083.97,2298.14,2558.09,2735.01,2693.42,2644.69,2395.05,2470.27,2536.62,2356.89,2185.76,2299.93,2234.73,2272.81,2260.34,2192.02,2386.08,1957.36,2285.07,1978.49,1902.93,2025.89,2164.57,2117.66,2211.59,2639.4,2612.09,2694.72,3022.97,3008.83,3256.1,3064.83,3071.16,3282.52,3655.38,3313.75
54125,A,27000,PROD_BP,MIO_EUR,CY,,,,,,,,,,,,,,,,,,,,,,,,,,28.07,27.57,0.0,0.0,0.0,20.55,267.18,264.82,231.26,225.47,222.67,235.71,239.58,248.87,256.46,224.15,212.73,205.25,269.68,268.82,247.85,310.79,312.94,283.06
54126,A,27000,PROD_BP,MIO_EUR,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,-32.2,-116.76,51.24,182.88,7.18,22.79,370.44,371.02,388.21,513.42,584.71,291.08,461.86,919.21,882.91,857.83,1090.07,869.98,1109.87,1049.51,953.58,978.97,1085.63,1430.66
54127,A,27000,PROD_BP,MIO_EUR,DE,,,,,,,,,,,,,,,,,,,4913.9,5630.93,5556.05,5788.01,6664.29,7987.85,7364.02,5968.95,5777.14,7983.83,10040.37,5947.51,4853.34,8795.84,7397.98,7890.86,10363.24,10968.01,6018.0,11004.6,13704.26,11790.86,14047.21,13249.62,7747.73,8179.98,12868.16,7812.32,12762.05,10253.68,9217.7
54128,A,27000,PROD_BP,MIO_EUR,DK,981.78,989.58,794.65,947.91,1197.04,1304.67,1078.59,1040.92,1252.19,1670.36,1413.59,2046.67,1884.51,2041.65,1494.65,1541.8,2059.9,1883.61,1766.2,1559.9,1551.08,1816.38,2215.1,2183.43,1943.52,1159.43,1037.76,1493.27,1960.6,1141.98,1050.56,1220.1,1195.98,1372.47,1316.62,414.24,426.15,1262.45,1454.33,2387.32,1382.49,1463.26,526.51,488.79,1336.35,680.97,1299.2,1942.87,851.74
