,freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54149,A,27000,PROD_BP,MIO_EUR,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.85,40.3,46.88,35.46,41.97,46.47,29.0,56.71,88.98,81.21,81.7,56.1,49.03,61.24,59.7
54150,A,27000,PROD_BP,MIO_EUR,IT,,,,,,,,11536.36,11744.33,12644.45,14951.14,13790.09,13405.65,14234.93,14472.99,12998.3,14518.75,14044.13,16505.71,15220.88,12752.46,13757.23,13889.45,16902.65,17427.76,17275.31,18081.48,17361.02,18584.1,17967.65,18195.52,18834.58,14459.66,14043.92,13515.46,14236.38,13885.66,11975.01,14847.53,15904.8,20381.67,18410.95,17925.06,18064.39,17937.89,19915.89,19061.0,17674.34,19209.86
54151,A,27000,PROD_BP,MIO_EUR,LT,,,,,,,,,,,,,,,,,,,,,,,208.41,314.89,339.94,337.24,251.59,188.1,163.18,157.8,158.8,294.49,356.1,301.6,446.4,440.0,313.1,423.44,623.93,849.09,720.16,649.37,713.09,510.74,709.01,411.68,613.92,936.04,914.23
54152,A,27000,PROD_BP,MIO_EUR,LU,,,,,,,,,,,,,85.92,91.87,89.77,89.64,107.16,99.76,90.93,92.49,96.04,93.72,102.75,97.72,89.25,99.34,94.81,88.2,86.35,128.9,75.59,100.42,81.6,82.52,100.15,84.44,44.44,57.07,57.38,63.17,46.61,68.93,52.97,43.66,61.23,68.16,66.02,66.57,66.88
54153,A,27000,PROD_BP,MIO_EUR,LV,,,,,,,,,,,,,,,,,,,,,,,,,,88.07,92.33,115.32,152.19,146.48,142.0,260.85,271.75,344.91,375.31,304.2,242.78,301.55,316.34,389.51,316.42,326.56,392.35,329.92,446.56,349.32,538.8,555.81,582.12
54154,A,27000,PROD_BP,MIO_EUR,MT,,,,,,,,,,,,,,,,,,,,,,,,,,58.82,58.07,56.9,64.51,62.1,57.48,56.62,56.34,56.79,58.86,55.84,64.66,71.91,63.97,61.6,63.3,63.72,79.87,58.5,54.38,74.91,75.74,70.28,64.66
54155,A,27000,PROD_BP,MIO_EUR,NL,,,,,,,,,,,,,,5126.49,4701.96,4787.46,5829.08,5629.98,5766.02,5444.28,4500.42,5268.93,5991.93,5613.47,6214.61,5150.84,4832.03,4995.74,5053.97,4244.87,4529.33,3883.5,4057.75,5295.69,5059.68,4207.28,3188.71,4682.84,3552.54,3926.77,4857.23,4475.86,4586.05,4759.92,5687.5,4446.52,4603.87,4095.77,4306.32
54156,A,27000,PROD_BP,MIO_EUR,NO,,,,,,,,,,,,,,,,,,,,,,,1394.25,1457.18,1420.24,1461.73,1377.29,1366.5,1298.7,1404.85,1282.16,1212.03,1187.82,1151.02,1281.34,1410.47,1277.72,1526.61,1601.84,1759.98,1640.19,1644.0,1676.74,1619.0,1504.86,1430.84,1449.05,1458.21,1483.63
54157,A,27000,PROD_BP,MIO_EUR,PL,,,,,,,,,,,,,,,,,,,,,,,,,,3136.81,2165.57,2546.18,3440.42,2613.01,2109.1,4632.16,4860.29,5732.16,7486.62,7190.36,6740.32,8629.78,9941.25,9215.63,10057.43,8213.62,8336.32,8596.75,9741.77,9330.61,10060.1,10351.88,9267.2
54158,A,27000,PROD_BP,MIO_EUR,PT,,,,,,,,970.84,1110.45,1231.09,1113.44,1191.71,1336.23,1346.92,1675.32,1400.2,1943.13,2042.67,2013.13,1716.21,1523.16,1841.58,2488.51,2482.55,2312.08,2114.74,2440.32,2088.67,2284.76,2067.33,2094.45,2393.34,2063.18,2056.16,1921.78,2175.07,1748.37,1921.71,1498.26,1636.4,1869.18,1728.38,1890.26,1999.43,1950.46,1927.11,2127.04,2245.87,2481.44
54159,A,27000,PROD_BP,MIO_EUR,RO,,,,,,,,,,,,,,,,,,,,,,,,,,3865.37,2800.95,2518.59,4156.95,3360.43,3851.38,5331.41,3597.38,3840.21,2661.69,4616.84,3037.36,4794.15,6034.32,4425.33,5503.38,5522.15,4915.57,6033.93,6641.46,6843.01,6810.26,5216.89,4808.74
54160,A,27000,PROD_BP,MIO_EUR,SE,,,964.77,1094.97,1120.75,1046.02,936.06,1040.64,1360.14,1448.64,1085.07,1468.56,1084.18,1102.73,976.17,1083.6,1275.1,1265.32,1058.4,874.37,805.04,835.1,1050.37,1092.21,1138.92,1060.69,900.42,1052.29,1046.33,1161.76,1129.07,986.15,1113.9,1316.24,1544.96,1305.83,854.43,1294.96,1398.82,1411.74,1228.58,1300.51,1342.44,1158.05,1407.9,1039.39,1202.95,1193.11,1542.47
54161,A,27000,PROD_BP,MIO_EUR,SI,,,,,,,,,,,,,,,,,,,,,,,219.79,184.95,240.87,238.15,209.68,213.8,186.1,285.57,174.92,294.33,300.71,293.87,334.12,293.13,281.38,306.88,377.6,307.16,327.75,374.88,424.4,366.17,331.38,499.46,441.05,504.37,346.95
54162,A,27000,PROD_BP,MIO_EUR,SK,,,,,,,,,,,,,,,,,,,,,,,31.13,44.76,60.48,2.87,34.04,49.65,76.03,91.39,12.22,108.84,72.71,127.38,170.54,238.78,57.72,65.27,156.7,210.76,138.47,196.23,135.41,256.42,291.38,266.89,248.81,309.85,329.41
54163,A,27000,PROD_BP,MIO_EUR,UK,2456.51,2315.84,2520.58,2932.09,2910.79,2866.13,3116.01,3623.26,4512.12,5435.61,4699.0,5910.18,4477.52,4247.03,4373.81,4605.84,5252.73,4663.64,4789.03,5339.93,6563.52,7089.57,7526.95,7067.41,5793.56,4620.37,4497.27,4190.59,4426.72,5052.4,5576.11,5359.36,5312.77,5305.79,5642.51,6945.35,6335.77,6386.04,8027.92,8162.5,8657.68,9154.7,8162.85,7130.27,8883.13,7803.73,8454.82,7060.91,
